1,	100,	0,	-nan
2,	100,	0,	-nan
3,	100,	3,	34.164
4,	100,	13,	23.4757
5,	100,	28,	22.8565
6,	100,	38,	26.9455
7,	100,	49,	22.0316
8,	100,	54,	24.9916
9,	100,	57,	30.7964
10,	100,	57,	31.2876
11,	100,	59,	30.3246
12,	100,	59,	32.5161
13,	100,	59,	33.4801
14,	100,	59,	39.0098
15,	100,	59,	35.7053
16,	100,	59,	35.524
17,	100,	59,	33.0738
18,	100,	59,	33.7425
19,	100,	59,	34.1546
20,	100,	59,	36.139
21,	100,	59,	35.9687
22,	100,	59,	42.5646
23,	100,	59,	42.4308
24,	100,	59,	42.0399
25,	100,	59,	42.1673
26,	100,	59,	43.1651
27,	100,	59,	44.1633
28,	100,	59,	45.2338
29,	100,	59,	47.1427
30,	100,	59,	50.1183
31,	100,	59,	50.8369
32,	100,	59,	50.2781
33,	100,	59,	51.85
34,	100,	59,	51.6617
35,	100,	59,	49.6102
36,	100,	59,	50.6476
37,	100,	59,	49.2589
38,	100,	59,	50.7551
39,	100,	59,	52.3496
40,	100,	59,	54.6386
41,	100,	59,	63.3859
42,	100,	59,	65.8594
43,	100,	59,	68.637
44,	100,	59,	70.9171
45,	100,	59,	74.9249
46,	100,	59,	75.5415
47,	100,	59,	76.0869
48,	100,	59,	75.4388
49,	100,	59,	74.9225
50,	100,	59,	75.0371
51,	100,	59,	73.5127
52,	100,	59,	72.7776
53,	100,	59,	75.4476
54,	100,	59,	74.512
55,	100,	59,	74.9105
56,	100,	59,	74.6767
57,	100,	59,	75.0448
58,	100,	59,	68.7351
59,	100,	59,	66.3069
60,	100,	59,	62.4956
61,	100,	59,	62.0139
62,	100,	59,	58.6239
63,	100,	59,	57.042
64,	100,	59,	50.5354
65,	100,	59,	49.6433
66,	100,	59,	49.6501
67,	100,	59,	49.6551
68,	100,	59,	49.6906
69,	100,	59,	49.6912
70,	100,	59,	49.6815
71,	100,	59,	49.7957
72,	100,	59,	49.9849
73,	100,	59,	50.7712
74,	100,	59,	50.7335
75,	100,	59,	50.6064
76,	100,	59,	50.6117
77,	100,	59,	50.1237
78,	100,	59,	50.1913
79,	100,	59,	50.2145
80,	100,	59,	50.1891
81,	100,	59,	50.1953
82,	100,	59,	50.2636
83,	100,	59,	50.2636
84,	100,	59,	50.2697
85,	100,	59,	50.2764
86,	100,	59,	50.3062
87,	100,	59,	50.2492
88,	100,	59,	50.249
89,	100,	59,	50.2423
90,	100,	59,	50.2122
91,	100,	59,	50.2014
92,	100,	59,	50.2061
93,	100,	59,	50.2061
94,	100,	59,	50.2122
95,	100,	59,	50.2186
96,	100,	59,	50.4198
97,	100,	59,	50.39
98,	100,	59,	49.8655
99,	100,	59,	49.8655
